model,tier,n,accuracy,band,in_band,committed,parse_rate
qwen2.5-0.5b-instruct,R1,100,0.18,"[0.25, 0.8]",False,False,0.72
qwen2.5-0.5b-instruct,R2,100,0.07,"[0.25, 0.8]",False,False,0.74
qwen2.5-0.5b-instruct,R3,100,0.0,"[0.25, 0.8]",False,False,0.99
qwen2.5-0.5b-instruct,C1,100,0.09,"[0.25, 0.8]",False,False,0.89
qwen2.5-0.5b-instruct,C2,100,0.13,"[0.25, 0.8]",False,False,0.9
qwen2.5-0.5b-instruct,C3,100,0.01,"[0.25, 0.8]",False,False,0.71
qwen2.5-1.5b-instruct,R1,100,0.33,"[0.25, 0.8]",True,True,0.86
qwen2.5-1.5b-instruct,R2,100,0.17,"[0.25, 0.8]",False,False,0.91
qwen2.5-1.5b-instruct,R3,100,0.0,"[0.25, 0.8]",False,False,1.0
qwen2.5-1.5b-instruct,C1,100,0.5,"[0.25, 0.8]",True,True,0.93
qwen2.5-1.5b-instruct,C2,100,0.46,"[0.25, 0.8]",True,True,0.85
qwen2.5-1.5b-instruct,C3,100,0.18,"[0.25, 0.8]",False,False,0.72
qwen2.5-3b-instruct,R1,100,0.43,"[0.25, 0.8]",True,True,0.95
qwen2.5-3b-instruct,R2,100,0.17,"[0.25, 0.8]",False,False,0.96
qwen2.5-3b-instruct,R3,100,0.01,"[0.25, 0.8]",False,False,1.0
qwen2.5-3b-instruct,C1,100,0.49,"[0.25, 0.8]",True,True,1.0
qwen2.5-3b-instruct,C2,100,0.4,"[0.25, 0.8]",True,True,1.0
qwen2.5-3b-instruct,C3,100,0.16,"[0.25, 0.8]",False,False,0.99
qwen2.5-7b-instruct,R1,100,0.51,"[0.25, 0.8]",True,True,0.94
qwen2.5-7b-instruct,R2,100,0.19,"[0.25, 0.8]",False,False,0.98
qwen2.5-7b-instruct,R3,100,0.01,"[0.25, 0.8]",False,False,0.98
qwen2.5-7b-instruct,C1,100,0.74,"[0.25, 0.8]",True,True,1.0
qwen2.5-7b-instruct,C2,100,0.62,"[0.25, 0.8]",True,True,1.0
qwen2.5-7b-instruct,C3,100,0.29,"[0.25, 0.8]",True,True,0.99
qwen2.5-7b-base,R1,100,0.58,"[0.25, 0.8]",True,True,1.0
qwen2.5-7b-base,R2,100,0.18,"[0.25, 0.8]",False,False,1.0
qwen2.5-7b-base,R3,100,0.02,"[0.25, 0.8]",False,False,1.0
qwen2.5-7b-base,C1,100,0.26,"[0.25, 0.8]",True,True,1.0
qwen2.5-7b-base,C2,100,0.51,"[0.25, 0.8]",True,True,1.0
qwen2.5-7b-base,C3,100,0.16,"[0.25, 0.8]",False,False,0.96
