model,tier,qid,split,verbal_raw,correct,behavioral_raw,n_clusters,n_valid,internal_raw,best_layer_pct,verbal_cal,behavioral_cal,internal_cal,family,params_b,canonical_format
qwen2.5-0.5b-instruct,R1,R1-6294647,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-441972,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6503240,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1398683,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5655121,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6159486,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1003583,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6298692,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6074793,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-619024,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1231270,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5534469,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-19472,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3188789,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1223425,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1927933,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-654047,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5769221,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4422347,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4549803,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3652320,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1703675,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-696121,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1533806,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5679365,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-263924,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2945999,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1867834,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5748842,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-808887,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5575512,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-557793,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4340665,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1695062,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-814310,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3492528,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6117457,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1709180,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1335873,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-471854,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1361418,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2865788,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4351838,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1348054,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4874251,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1683267,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4999192,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-290656,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-599002,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-179126,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-110614,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4851661,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2909773,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4864774,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3544134,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1587190,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1366262,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2490440,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6340564,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5895957,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-645704,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-282938,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3025476,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1157416,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4420706,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4686489,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6338836,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2348074,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1843439,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-152403,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4614719,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-564720,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4443970,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-4123087,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-562847,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-349903,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-258682,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6464294,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-42758,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5240449,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3914212,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6415970,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3522454,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1719999,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-160839,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6374500,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5050826,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-997056,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1363778,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1087089,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-569447,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1205536,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-6043400,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2990694,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-805471,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-5262087,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-1404597,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-2985450,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3572494,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R1,R1-3354763,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1295145,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4245583,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-6163381,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2775719,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-21770,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2297573,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2011217,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-960218,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-1547771,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5360132,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-55477,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5965946,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5466734,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3890850,train,,1,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-5952436,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-3241907,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-4263382,train,,0,,,,,,,,,retrieval,0.49,B
qwen2.5-0.5b-instruct,R2,R2-2335440,train,,0,,,,,,,,,retrieval,0.49,B
