model,tier,variant,n,parse_rate,accuracy,resolved_rate
qwen2.5-0.5b-instruct,C1,A,100,0.78,0.04,1.0
qwen2.5-0.5b-instruct,C1,B,100,0.77,0.04,1.0
qwen2.5-0.5b-instruct,C1,C,100,0.82,0.01,1.0
qwen2.5-0.5b-instruct,C1,FORCED,100,0.89,0.09,1.0
qwen2.5-0.5b-instruct,C2,A,100,0.88,0.12,1.0
qwen2.5-0.5b-instruct,C2,B,100,0.86,0.1,1.0
qwen2.5-0.5b-instruct,C2,C,100,0.64,0.03,1.0
qwen2.5-0.5b-instruct,C2,FORCED,100,0.9,0.13,1.0
qwen2.5-0.5b-instruct,C3,A,100,0.68,0.03,1.0
qwen2.5-0.5b-instruct,C3,B,100,0.66,0.0,1.0
qwen2.5-0.5b-instruct,C3,C,100,0.4,0.0,1.0
qwen2.5-0.5b-instruct,C3,FORCED,100,0.71,0.01,1.0
qwen2.5-0.5b-instruct,R1,A,100,1.0,0.16,1.0
qwen2.5-0.5b-instruct,R1,B,100,0.97,0.16,1.0
qwen2.5-0.5b-instruct,R1,C,100,0.0,0.0,1.0
qwen2.5-0.5b-instruct,R1,FORCED,100,0.72,0.18,1.0
qwen2.5-0.5b-instruct,R2,A,100,1.0,0.17,1.0
qwen2.5-0.5b-instruct,R2,B,100,0.97,0.14,1.0
qwen2.5-0.5b-instruct,R2,C,100,0.0,0.0,1.0
qwen2.5-0.5b-instruct,R2,FORCED,100,0.74,0.07,1.0
qwen2.5-0.5b-instruct,R3,A,100,0.96,0.02,1.0
qwen2.5-0.5b-instruct,R3,B,100,0.9,0.0,1.0
qwen2.5-0.5b-instruct,R3,C,100,0.01,0.0,1.0
qwen2.5-0.5b-instruct,R3,FORCED,100,0.99,0.0,1.0
qwen2.5-1.5b-instruct,C1,A,1000,0.945,0.47,1.0
qwen2.5-1.5b-instruct,C1,B,1000,0.957,0.469,1.0
qwen2.5-1.5b-instruct,C1,C,1000,0.897,0.305,1.0
qwen2.5-1.5b-instruct,C1,EXTRACT,1000,0.959,0.503,1.0
qwen2.5-1.5b-instruct,C1,FORCED,463,0.9611231101511879,0.490280777537797,1.0
qwen2.5-1.5b-instruct,C1,SAMPLE,10000,0.9387,0.4359,1.0
qwen2.5-1.5b-instruct,C2,A,1000,0.84,0.418,1.0
qwen2.5-1.5b-instruct,C2,B,1000,0.849,0.389,1.0
qwen2.5-1.5b-instruct,C2,C,1000,0.793,0.288,1.0
qwen2.5-1.5b-instruct,C2,EXTRACT,1000,0.854,0.394,1.0
qwen2.5-1.5b-instruct,C2,FORCED,434,0.8986175115207373,0.4608294930875576,1.0
qwen2.5-1.5b-instruct,C2,SAMPLE,10000,0.8389,0.336,1.0
qwen2.5-1.5b-instruct,C3,A,100,0.69,0.17,1.0
qwen2.5-1.5b-instruct,C3,B,100,0.7,0.13,1.0
qwen2.5-1.5b-instruct,C3,C,100,0.62,0.07,1.0
qwen2.5-1.5b-instruct,C3,FORCED,100,0.72,0.18,1.0
qwen2.5-1.5b-instruct,R1,A,1000,1.0,0.343,1.0
qwen2.5-1.5b-instruct,R1,B,1000,1.0,0.342,1.0
qwen2.5-1.5b-instruct,R1,C,1000,0.99,0.017,1.0
qwen2.5-1.5b-instruct,R1,EXTRACT,1000,0.978,0.341,1.0
qwen2.5-1.5b-instruct,R1,FORCED,928,0.9245689655172413,0.28125,1.0
qwen2.5-1.5b-instruct,R1,SAMPLE,10000,0.9586,0.3154,1.0
qwen2.5-1.5b-instruct,R2,A,100,1.0,0.19,1.0
qwen2.5-1.5b-instruct,R2,B,100,1.0,0.17,1.0
qwen2.5-1.5b-instruct,R2,C,100,0.98,0.01,1.0
qwen2.5-1.5b-instruct,R2,FORCED,100,0.91,0.17,1.0
qwen2.5-1.5b-instruct,R3,A,100,1.0,0.0,1.0
qwen2.5-1.5b-instruct,R3,B,100,1.0,0.0,1.0
qwen2.5-1.5b-instruct,R3,C,100,0.98,0.0,1.0
qwen2.5-1.5b-instruct,R3,FORCED,100,1.0,0.0,1.0
qwen2.5-3b-instruct,C1,A,1000,1.0,0.472,1.0
qwen2.5-3b-instruct,C1,B,1000,0.999,0.492,1.0
qwen2.5-3b-instruct,C1,C,1000,0.99,0.361,1.0
qwen2.5-3b-instruct,C1,EXTRACT,1000,0.998,0.425,1.0
qwen2.5-3b-instruct,C1,FORCED,115,1.0,0.45217391304347826,1.0
qwen2.5-3b-instruct,C1,SAMPLE,10000,0.998,0.3919,1.0
qwen2.5-3b-instruct,C2,A,1000,1.0,0.402,1.0
qwen2.5-3b-instruct,C2,B,1000,0.997,0.386,1.0
qwen2.5-3b-instruct,C2,C,1000,0.989,0.363,1.0
qwen2.5-3b-instruct,C2,EXTRACT,1000,1.0,0.362,1.0
qwen2.5-3b-instruct,C2,FORCED,122,1.0,0.36885245901639346,1.0
qwen2.5-3b-instruct,C2,SAMPLE,10000,0.9993,0.3657,1.0
qwen2.5-3b-instruct,C3,A,100,1.0,0.11,1.0
qwen2.5-3b-instruct,C3,B,100,1.0,0.14,1.0
qwen2.5-3b-instruct,C3,C,100,0.91,0.14,1.0
qwen2.5-3b-instruct,C3,FORCED,100,0.99,0.16,1.0
qwen2.5-3b-instruct,R1,A,1000,0.998,0.38,1.0
qwen2.5-3b-instruct,R1,B,1000,0.999,0.376,1.0
qwen2.5-3b-instruct,R1,C,1000,1.0,0.317,1.0
qwen2.5-3b-instruct,R1,EXTRACT,1000,0.998,0.387,1.0
qwen2.5-3b-instruct,R1,FORCED,145,0.9655172413793104,0.4068965517241379,1.0
qwen2.5-3b-instruct,R1,SAMPLE,10000,0.9984,0.3699,1.0
qwen2.5-3b-instruct,R2,A,100,1.0,0.17,1.0
qwen2.5-3b-instruct,R2,B,100,1.0,0.16,1.0
qwen2.5-3b-instruct,R2,C,100,1.0,0.08,1.0
qwen2.5-3b-instruct,R2,FORCED,100,0.96,0.17,1.0
qwen2.5-3b-instruct,R3,A,100,1.0,0.01,1.0
qwen2.5-3b-instruct,R3,B,100,1.0,0.02,1.0
qwen2.5-3b-instruct,R3,C,100,0.96,0.02,1.0
qwen2.5-3b-instruct,R3,FORCED,100,1.0,0.01,1.0
qwen2.5-7b-base,C1,A,100,1.0,0.06,1.0
qwen2.5-7b-base,C1,B,100,1.0,0.03,1.0
qwen2.5-7b-base,C1,C,100,1.0,0.05,1.0
qwen2.5-7b-base,C1,FORCED,100,1.0,0.03,1.0
qwen2.5-7b-base,C2,A,100,1.0,0.13,1.0
qwen2.5-7b-base,C2,B,100,1.0,0.07,1.0
qwen2.5-7b-base,C2,C,100,1.0,0.03,1.0
qwen2.5-7b-base,C2,FORCED,100,1.0,0.08,1.0
qwen2.5-7b-base,C3,A,100,0.96,0.1,1.0
qwen2.5-7b-base,C3,B,100,0.97,0.05,1.0
qwen2.5-7b-base,C3,C,100,1.0,0.02,1.0
qwen2.5-7b-base,C3,FORCED,100,0.96,0.03,1.0
qwen2.5-7b-base,R1,A,100,1.0,0.39,1.0
qwen2.5-7b-base,R1,B,100,1.0,0.39,1.0
qwen2.5-7b-base,R1,C,100,1.0,0.49,1.0
qwen2.5-7b-base,R1,FORCED,100,1.0,0.04,1.0
qwen2.5-7b-base,R2,A,100,1.0,0.13,1.0
qwen2.5-7b-base,R2,B,100,1.0,0.12,1.0
qwen2.5-7b-base,R2,C,100,1.0,0.15,1.0
qwen2.5-7b-base,R2,FORCED,100,1.0,0.0,1.0
qwen2.5-7b-base,R3,A,100,1.0,0.0,1.0
qwen2.5-7b-base,R3,B,100,1.0,0.01,1.0
qwen2.5-7b-base,R3,C,100,1.0,0.01,1.0
qwen2.5-7b-base,R3,FORCED,100,1.0,0.01,1.0
qwen2.5-7b-instruct,C1,A,1000,1.0,0.578,1.0
qwen2.5-7b-instruct,C1,B,1000,1.0,0.58,1.0
qwen2.5-7b-instruct,C1,C,1000,1.0,0.341,1.0
qwen2.5-7b-instruct,C1,EXTRACT,1000,0.999,0.589,1.0
qwen2.5-7b-instruct,C1,FORCED,103,1.0,0.7378640776699029,1.0
qwen2.5-7b-instruct,C1,SAMPLE,10000,1.0,0.5806,1.0
qwen2.5-7b-instruct,C2,A,1000,0.997,0.504,1.0
qwen2.5-7b-instruct,C2,B,1000,0.999,0.509,1.0
qwen2.5-7b-instruct,C2,C,1000,1.0,0.473,1.0
qwen2.5-7b-instruct,C2,EXTRACT,1000,1.0,0.533,1.0
qwen2.5-7b-instruct,C2,FORCED,110,1.0,0.5727272727272728,1.0
qwen2.5-7b-instruct,C2,SAMPLE,10000,0.9981,0.5257,1.0
qwen2.5-7b-instruct,C3,A,1000,0.995,0.186,1.0
qwen2.5-7b-instruct,C3,B,1000,0.997,0.167,1.0
qwen2.5-7b-instruct,C3,C,1000,0.998,0.168,1.0
qwen2.5-7b-instruct,C3,EXTRACT,1000,0.996,0.201,1.0
qwen2.5-7b-instruct,C3,FORCED,115,0.991304347826087,0.2782608695652174,1.0
qwen2.5-7b-instruct,C3,SAMPLE,10000,0.9976,0.2057,1.0
qwen2.5-7b-instruct,R1,A,1000,1.0,0.446,1.0
qwen2.5-7b-instruct,R1,B,1000,0.999,0.445,1.0
qwen2.5-7b-instruct,R1,C,1000,1.0,0.356,1.0
qwen2.5-7b-instruct,R1,EXTRACT,1000,0.996,0.443,1.0
qwen2.5-7b-instruct,R1,FORCED,313,0.9712460063897763,0.35782747603833864,1.0
qwen2.5-7b-instruct,R1,SAMPLE,10000,0.9943,0.4311,1.0
qwen2.5-7b-instruct,R2,A,100,1.0,0.2,1.0
qwen2.5-7b-instruct,R2,B,100,1.0,0.15,1.0
qwen2.5-7b-instruct,R2,C,100,1.0,0.1,1.0
qwen2.5-7b-instruct,R2,FORCED,100,0.98,0.19,1.0
qwen2.5-7b-instruct,R3,A,100,1.0,0.01,1.0
qwen2.5-7b-instruct,R3,B,100,1.0,0.02,1.0
qwen2.5-7b-instruct,R3,C,100,1.0,0.0,1.0
qwen2.5-7b-instruct,R3,FORCED,100,0.98,0.01,1.0
