cell,model,tier,family,params_b,layer_pct,layer_index,n_train,n_cal,n_test,base_rate,auroc_train,auroc_cal,auroc_test,auroc_null_mean,auroc_null_p95,beats_null,auroc_surface,beats_surface,nonfinite_frac,meets_gate
qwen2.5-1.5b-instruct__R1,qwen2.5-1.5b-instruct,R1,retrieval,1.54,0,0,600,200,200,0.3433333333333333,0.5039364742989503,0.5078125,0.5145985401459854,0.50234375,0.5078125,False,0.7913411458333334,False,0.0,False
qwen2.5-1.5b-instruct__R1,qwen2.5-1.5b-instruct,R1,retrieval,1.54,25,7,600,200,200,0.3433333333333333,0.9997412646000691,0.806857638888889,0.8725524272969528,0.49244249131944445,0.5780327690972222,True,0.7913411458333334,True,0.0,True
qwen2.5-1.5b-instruct__R1,qwen2.5-1.5b-instruct,R1,retrieval,1.54,50,14,600,200,200,0.3433333333333333,0.9998767926666995,0.8483072916666667,0.8562159657050168,0.4863715277777777,0.5365125868055557,True,0.7913411458333334,True,0.0,True
qwen2.5-1.5b-instruct__R1,qwen2.5-1.5b-instruct,R1,retrieval,1.54,75,21,600,200,200,0.3433333333333333,0.9997043024000789,0.8645833333333333,0.8601552543158383,0.475830078125,0.6054904513888889,True,0.7913411458333334,True,0.0,True
qwen2.5-1.5b-instruct__R1,qwen2.5-1.5b-instruct,R1,retrieval,1.54,100,28,600,200,200,0.3433333333333333,0.9999383963333498,0.841037326388889,0.848916695632024,0.48511284722222214,0.5640190972222222,True,0.7913411458333334,True,0.0,True
qwen2.5-1.5b-instruct__C1,qwen2.5-1.5b-instruct,C1,reasoning,1.54,0,0,600,200,200,0.5166666666666667,0.5445773081201335,0.5504587155963303,0.5153061224489796,0.5041284403669726,0.5321100917431192,True,0.5351345901804617,True,0.0,False
qwen2.5-1.5b-instruct__C1,qwen2.5-1.5b-instruct,C1,reasoning,1.54,25,7,600,200,200,0.5166666666666667,0.9997997775305895,0.7655005544913802,0.7396958783513405,0.49681419497933266,0.56062607117653,True,0.5351345901804617,True,0.0,True
qwen2.5-1.5b-instruct__C1,qwen2.5-1.5b-instruct,C1,reasoning,1.54,50,14,600,200,200,0.5166666666666667,1.0,0.762778505897772,0.7260904361744698,0.4969351749168263,0.5401552575864503,True,0.5351345901804617,True,0.0,True
qwen2.5-1.5b-instruct__C1,qwen2.5-1.5b-instruct,C1,reasoning,1.54,75,21,600,200,200,0.5166666666666667,1.0,0.7373727190240952,0.6536614645858343,0.49986893840104846,0.5674816009678394,True,0.5351345901804617,True,0.0,True
qwen2.5-1.5b-instruct__C1,qwen2.5-1.5b-instruct,C1,reasoning,1.54,100,28,600,200,200,0.5166666666666667,1.0,0.7158987801189636,0.6975790316126451,0.5055751587861679,0.5660500050408308,True,0.5351345901804617,True,0.0,True
qwen2.5-1.5b-instruct__C2,qwen2.5-1.5b-instruct,C2,reasoning,1.54,0,0,600,200,200,0.38666666666666666,0.6278930847076462,0.6587301587301587,0.5892857142857143,0.5190476190476191,0.5726190476190476,True,0.6314350064350064,True,0.0,True
