model,tier,n,n_correct,n_incorrect,n_abstain,omniscience_index,abstention_rate
qwen2.5-0.5b-instruct,C1,100,1,20,62,-19.0,0.62
qwen2.5-0.5b-instruct,C2,100,3,8,53,-5.0,0.53
qwen2.5-0.5b-instruct,C3,100,0,3,37,-3.0,0.37
qwen2.5-0.5b-instruct,R1,100,0,0,0,0.0,0.0
qwen2.5-0.5b-instruct,R2,100,0,0,0,0.0,0.0
qwen2.5-0.5b-instruct,R3,100,0,0,1,0.0,0.01
qwen2.5-1.5b-instruct,C1,1000,305,208,395,9.7,0.395
qwen2.5-1.5b-instruct,C2,1000,288,138,370,15.0,0.37
qwen2.5-1.5b-instruct,C3,100,7,15,40,-8.0,0.4
qwen2.5-1.5b-instruct,R1,1000,17,58,915,-4.1,0.915
qwen2.5-1.5b-instruct,R2,100,1,1,96,0.0,0.96
qwen2.5-1.5b-instruct,R3,100,0,6,92,-6.0,0.92
qwen2.5-3b-instruct,C1,1000,361,613,16,-25.2,0.016
qwen2.5-3b-instruct,C2,1000,363,601,28,-23.8,0.028
qwen2.5-3b-instruct,C3,100,14,78,7,-64.0,0.07
qwen2.5-3b-instruct,R1,1000,317,629,54,-31.2,0.054
qwen2.5-3b-instruct,R2,100,8,81,11,-73.0,0.11
qwen2.5-3b-instruct,R3,100,2,94,4,-92.0,0.04
qwen2.5-7b-base,C1,1000,309,690,0,-38.1,0.0
qwen2.5-7b-base,C2,1000,482,517,0,-3.5,0.0
qwen2.5-7b-base,C3,100,14,86,0,-72.0,0.0
qwen2.5-7b-base,R1,1000,497,496,7,0.1,0.007
qwen2.5-7b-base,R2,100,18,81,1,-63.0,0.01
qwen2.5-7b-base,R3,100,1,98,1,-97.0,0.01
qwen2.5-7b-instruct,C1,1000,341,656,3,-31.5,0.003
qwen2.5-7b-instruct,C2,1000,473,517,10,-4.4,0.01
qwen2.5-7b-instruct,C3,1000,168,813,17,-64.5,0.017
qwen2.5-7b-instruct,R1,1000,356,405,239,-4.9,0.239
qwen2.5-7b-instruct,R2,100,10,31,59,-21.0,0.59
qwen2.5-7b-instruct,R3,100,0,52,48,-52.0,0.48
