cell,n_passes,justified_hedge,missed_knowledge,missed_knowledge_rate
qwen2.5-0.5b-instruct__C1,62,56,6.0,0.0968
qwen2.5-0.5b-instruct__C2,53,43,10.0,0.1887
qwen2.5-0.5b-instruct__C3,37,36,1.0,0.027
qwen2.5-0.5b-instruct__R3,1,1,,0.0
qwen2.5-1.5b-instruct__C1,395,199,196.0,0.4962
qwen2.5-1.5b-instruct__C2,370,195,175.0,0.473
qwen2.5-1.5b-instruct__C3,40,26,14.0,0.35
qwen2.5-1.5b-instruct__R1,915,659,256.0,0.2798
qwen2.5-1.5b-instruct__R2,96,79,17.0,0.1771
qwen2.5-1.5b-instruct__R3,92,92,,0.0
qwen2.5-3b-instruct__C1,16,13,3.0,0.1875
qwen2.5-3b-instruct__C2,28,22,6.0,0.2143
qwen2.5-3b-instruct__C3,7,7,,0.0
qwen2.5-3b-instruct__R1,54,36,18.0,0.3333
qwen2.5-3b-instruct__R2,11,7,4.0,0.3636
qwen2.5-3b-instruct__R3,4,4,,0.0
qwen2.5-7b-base__R1,7,4,3.0,0.4286
qwen2.5-7b-base__R2,1,1,,0.0
qwen2.5-7b-base__R3,1,1,,0.0
qwen2.5-7b-instruct__C1,3,1,2.0,0.6667
qwen2.5-7b-instruct__C2,10,9,1.0,0.1
qwen2.5-7b-instruct__C3,17,13,4.0,0.2353
qwen2.5-7b-instruct__R1,239,168,71.0,0.2971
qwen2.5-7b-instruct__R2,59,50,9.0,0.1525
qwen2.5-7b-instruct__R3,48,47,1.0,0.0208
